Produto,Quantidade,Preco_Unitario,Total,Estado
Smartphone X,10,899.99,8999.90,SP
Notebook Pro,5,1500.00,7500.00,RJ
Fone de Ouvido Bluetooth,25,120.50,3012.50,MG
Smart TV 55",3,2200.00,6600.00,PR
Câmera Digital,7,450.00,3150.00,SC
Tablet Y,8,600.00,4800.00,BA
Monitor Gamer,4,950.00,3800.00,RS
Teclado Mecânico,15,250.00,3750.00,PE
Mouse Sem Fio,30,80.00,2400.00,CE
Impressora Multifuncional,2,700.00,1400.00,DF
Webcam HD,20,180.00,3600.00,GO
Roteador Wi-Fi,12,300.00,3600.00,AM
SSD 1TB,6,400.00,2400.00,ES
Placa de Vídeo RTX,1,3500.00,3500.00,SP
Memória RAM 16GB,10,320.00,3200.00,RJ
Caixa de Som Bluetooth,18,90.00,1620.00,MG
Pendrive 64GB,40,45.00,1800.00,PR
HD Externo 2TB,5,550.00,2750.00,SC
Mochila para Notebook,10,150.00,1500.00,BA
Projetor Portátil,2,1200.00,2400.00,RS